pitch_id,pitcher_id,pa_of_inning,pitch_of_pa,inning,outs,balls,strikes,batter_side,pitcher_throws,pitch_type,pitch_call,rel_speed,spin_rate,tilt,rel_height,rel_side,extension,vert_break,induced_vert_break,horz_break,plate_loc_height,plate_loc_side,strike_prob,runner_on_first_id,runner_on_second_id,runner_on_third_id,post_runner_on_first_id,post_runner_on_second_id,post_runner_on_third_id,hit_type,play_result,direction,exit_speed,angle,distance,bearing,venue
b8b7e840-de44-422d-b8bf-f7d7042fbef4,player_a,1,3,4,0,1,1,left,right,curveball,ball_called,84.2772,2477.010823,7:30,5.61703,2.0777,5.6743,-53.52524,-13.22003,-12.77488,1.57426,0.88027,0.440521777,,,,677588,,,,,,,,,,CanalPark
d92a3d92-4bf5-43ee-98f5-fc2f5ee10119,player_b,4,5,2,1,3,1,right,left,changeup,foul_ball,88.02048502,2209.668508,10:15,5.6389588,-2.174441824,5.876454351,-21.84050467,12.68566316,-11.53853321,2.575219474,-0.174277795,0.982242584,670084,623323,,670084,623323,,,foul_ball,168.1279243,72.12599558,21.62157351,187.4550714,167.8987152,Greater Nevada Field
e5e73533-96d0-475e-a363-80c0b1ca1912,player_b,2,1,2,1,0,0,left,left,curveball,ball_called,76.26896499,1214.171531,6:30,5.964240131,-2.011509873,5.371488688,-51.60539453,-4.452262798,7.101557469,3.483091011,0.576210516,0.579422772,,,,,,,,,,,,,,Sutter Health Park
2a816ab8-222b-49d0-a5d2-ca9f9224b03d,player_a,3,2,4,0,1,0,right,right,slider,ball_called,84.86077,2571.43066,8:45,5.50824,2.23072,5.41491,-40.26121,-0.73758,-13.56531,1.74762,-1.07615,0.097132139,686659,0,677588,0,0,677588,,,,,,,,CanalPark
528d1a39-94cf-4c09-8a45-b8c695e0c299,player_a,4,2,6,0,1,0,right,right,four_seam,strike_called,94.00329,2577.486188,1:00,5.60306,2.14393,5.8161,-19.84133,12.45737,6.57162,2.09449,-0.71006,0.895650506,687401,660642,0,0,687401,660642,,,,,,,,PrinceGeorge
5923dd44-540e-4236-9662-dff5b369d029,player_b,1,5,2,0,1,2,right,left,four_seam,foul_ball,94.23336421,2406.829301,10:30,5.796763272,-2.149061076,5.719942642,-18.01762226,11.51704925,-8.449507045,3.469202783,0.286658439,0.418067336,,,,,,,,foul_ball,99.98484775,75.37222908,55.92337606,230.4913464,100.5993083,Smith's Ballpark
e8f54fdb-ebdf-4967-9b89-4834b3aee39e,player_a,3,1,1,1,0,0,left,right,four_seam,ball_called,89.71713,2418.911279,1:45,5.553844,2.241175,5.753865,-19.657126,15.304534,6.975699,4.099202,0.779764,0.004103942,0,686659,0,0,0,686659,,,,,,,,The Diamond
ceff1fee-b969-4c72-8139-6238021b8c44,player_a,1,4,3,0,1,2,left,right,curveball,ball_called,84.12677,2361.645525,7:15,5.63455,2.1148,5.6362,-51.80413,-12.01944,-9.38842,3.27401,1.75125,0.001684371,,,,682177,,,,,,,,,,CanalPark
daf9e840-2c8f-45c5-abd9-26baaf6cfaee,player_b,3,4,3,1,2,1,left,left,four_seam,in_play,93.55266546,2355.588489,10:45,5.726570153,-1.960469535,5.73669285,-16.55172292,13.78496789,-10.26954735,2.088825336,-0.702344334,0.852783918,,,,,,,medium_ground_ball,out,33.7874079,66.7699528,-2.788029311,23.28490099,33.20637145,Isotopes Park
5f1e09fe-ca4d-4668-9a8b-ed8d1f71924f,player_a,4,2,7,2,0,1,left,right,four_seam,in_play,96.102794,69.441381,2:30,5.428879,2.29832,5.937569,-18.734646,11.847827,15.917453,1.698094,0.141309,0.66491276,668667,,,,,,medium_line_drive,single,-10.697054,89.629452,11.975307,209.865388,-15.785919,The Diamond
5b4dd3ec-1f98-45f9-9b39-565557397f54,player_a,7,5,2,2,2,2,left,right,curveball,ball_called,84.044061,2371.482635,7:00,5.653457,1.789888,5.939454,-50.690759,-10.739467,-11.104304,1.036518,-1.6957,0.001691582,,,,666310,,,,,,,,,,The Diamond
78543239-e8ba-4071-99da-b045edb7087b,player_a,1,1,6,0,0,0,left,right,curveball,ball_called,83.851777,2405.138446,6:45,5.572474,2.063064,6.104174,-48.768979,-9.067888,-2.958461,-0.555019,-2.463738,0.000537525,,,,,,,,,,,,,,The Diamond
